Monarch,Lineage,Weight,Longevity
717,19,-0.3247,6
718,19,0.8521,11
719,19,0.4496,10
720,19,NA,NA
721,19,0.4051,16
722,19,NA,NA
723,19,0.4219,8
724,19,NA,NA
725,19,0.5591,21
726,19,0.6129,14
727,19,0.4836,11
728,19,0.4734,15
729,19,0.5161,12
730,19,0.4973,22
731,19,0.4671,10
732,19,0.4237,8
733,19,NA,NA
734,19,0.5028,12
735,19,NA,NA
736,19,0.5553,5
737,19,NA,NA
738,19,0.6248,6
739,19,0.7624,9
740,19,0.4461,17
741,19,0.459,8
742,19,0.544,11
743,19,NA,NA
744,19,0.6278,9
745,19,0.5611,11
746,19,0.6384,10
747,19,0.6234,14
748,19,0.5125,8
749,19,0.4041,9
750,19,0.5754,23
751,19,0.6384,7
752,19,NA,NA
753,19,NA,NA
754,19,0.5271,17
755,19,0.5002,11
756,19,0.4067,12
757,19,0.5413,7
758,19,0.5374,18
759,19,0.5512,21
760,19,0.5416,21
761,19,0.4359,11
762,19,0.5308,16
763,19,0.4808,8
764,19,0.4615,11
765,19,1.3242,8
766,19,0.5415,11
767,19,0.588,23
768,19,0.5215,8
769,19,0.4703,11
770,19,0.4219,16
771,19,NA,NA
772,19,NA,NA
773,19,0.5053,12
774,19,0.4485,7
775,19,0.4165,7
776,19,0.936,19
777,19,0.5024,16
778,19,0.5909,7
779,19,NA,NA
780,19,0.5656,19
781,19,0.4979,7
782,19,0.3903,5
783,19,NA,NA
784,19,0.5058,11
785,19,0.4914,12
786,19,NA,NA
787,19,0.4807,7
788,19,0.3977,11
789,19,0.6998,4
790,19,0.6697,18
791,19,0.5716,8
792,19,0.5693,10
793,19,0.5495,17
794,19,NA,NA
795,19,0.4179,13
796,19,0.5191,9
797,19,0.4962,6
798,19,0.4515,10
799,19,0.4898,17
800,19,0.4479,16
